id,salary,firstname,lastname,state,department,date,gender,county,expenditure
1,123234878,_\ddd,Rogers,CC,FI,20230124,M,Alameda,6384.911133
2,123234872,_\d89e,Rogers,CA,FA,20230125,M,Butte,5099.380859
3,123234874,_\d89,Rogers,CA,FA,20230124,M,Butte,5501.95459
4,123234873,_89,Rogers,CC,FE,20230124,M,Butte,7101.831055
5,152934485,Anand,Manikutty,SC,FA,20230127,F,Butte,5235.987793
6,222364883,Carol,Smith,SC,FA,20230124,M,Fresno,5580.146973
7,326587417,Joe,Stevens,MG,FI,20230124,M,San Joaquin,5253.331055
8,332154719,Mary-Anne,Foster,SE,FE,20230129,F,Kern,4565.746094
9,332569843,George,ODonnell,PR,FA,20230127,F,Fresno,5355.54834
10,546523478,John,Doe,CC,FI,20230124,M,Sacramento,5036.211426
11,631231482,David,Smith,CA,FE,20230124,M,Merced,4547.692383
12,654873219,Zacary,Efron,CD,FA,20230127,M,Fresno,5447.345215
13,745685214,Eric,Goldsmith,CC,FA,20230124,M,Tulare,6567.149414
14,845657245,Elizabeth,Doe,SC,FA,20230129,F,Tulare,4818.612793
15,845657246,Kumar,Swamy,CA,FI,20230129,F,Tulare,5621.456055
